cause_of_death,community_area,community_area_name,cumulative_deaths_2004_2008,cumulative_deaths_rank,average_annual_deaths_2004_2008,average_crude_rate_2004_2008,crude_rate_lower_ci,crude_rate_upper_ci,crude_rate_rank,average_adjusted_rate_2004_2008,adjusted_rate_lower_ci,adjusted_rate_upper_ci,adjusted_rate_rank,average_annual_years_of_potential_life_lost_rate_2004_2008,ypll_rate_rank,warning
Firearm-related,56,Garfield Ridge,12,43,2,6.9,3.6,12.1,54,7.4,3.8,12.2,48,308,49,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Firearm-related,57,Archer Heights,9,53,2,13.6,6.2,25.8,30,11.4,5.2,20,33,742,30,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Firearm-related,58,Brighton Park,26,25,5,11.5,7.5,16.9,38,10.1,6.5,14.4,37,573,37,
Firearm-related,59,McKinley Park,7,59,1,8.9,3.6,18.3,43,8.6,3.4,16.2,43,391,45,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Firearm-related,60,Bridgeport,8,58,2,5,2.2,9.9,58,4.4,1.9,7.9,61,223,58,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Firearm-related,61,New City,63,12,13,27.5,21.1,35.2,20,25.4,19.4,32.2,22,1324,20,
Firearm-related,62,West Elsdon,7,59,1,7.9,3.2,16.3,47,8.1,3.2,15.2,44,321,48,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Firearm-related,64,Clearing,11,47,2,9.6,4.8,17.2,41,10,5,16.7,38,483,40,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Firearm-related,65,West Lawn,13,41,3,8,4.3,13.7,46,7.4,3.9,12,48,409,43,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Firearm-related,67,West Englewood,81,5,16,43.2,34.3,53.7,4,42.9,33.9,53,5,2107,6,
Firearm-related,68,Englewood,68,10,14,41.8,32.5,53,8,41.8,32.3,52.5,6,2047,8,
Firearm-related,69,Greater Grand Crossing,80,6,16,47.3,37.5,58.9,3,48.2,38.1,59.4,3,2477,3,
Firearm-related,70,Ashburn,23,28,5,11.3,7.2,17,39,11.4,7.2,16.6,33,531,39,
Firearm-related,71,Auburn Gresham,88,2,18,35.1,28.2,43.2,13,37.5,30,45.8,11,1705,13,
Firearm-related,72,Beverly,5,62,1,4.9,1.6,11.4,59,5.7,1.8,11.7,55,218,59,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Firearm-related,73,Washington Heights,43,16,9,31.7,22.9,42.7,15,35.9,25.9,47.6,14,1611,15,
Firearm-related,74,Mount Greenwood,5,62,1,5.3,1.7,12.4,57,5.2,1.7,10.7,57,142,66,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Firearm-related,75,Morgan Park,21,29,4,18.2,11.3,27.8,29,20.7,12.8,30.6,28,880,28,
Firearm-related,76,O'Hare,3,73,1,4.8,1,14,60,5.6,1,14,56,244,54,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Firearm-related,77,Edgewater,10,50,2,3.5,1.7,6.4,68,2.5,1.2,4.4,74,138,67,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Firearm-related,0,Chicago,2075,,415,15.2,14.5,15.9,,13.7,13.1,14.3,,731,,
"Injury, unintentional",1,Rogers Park,66,24,13,23.3,18,29.6,55,25.7,19.5,32.6,53,715,51,
"Injury, unintentional",2,West Ridge,77,12,15,21.3,16.8,26.6,60,21.1,16.6,26.1,62,544,65,
"Injury, unintentional",3,Uptown,82,11,16,28.4,22.6,35.3,38,26.1,20.7,32.2,50,721,50,
"Injury, unintentional",4,Lincoln Square,44,41,9,21.7,15.8,29.1,58,23.9,17.1,31.8,57,518,67,
"Injury, unintentional",5,North Center,28,54,6,17.6,11.7,25.4,67,23.2,15,33.3,59,425,74,
"Injury, unintentional",6,Lake View,73,16,15,15.5,12.1,19.5,75,17.8,13.6,22.5,73,472,72,
"Injury, unintentional",7,Lincoln Park,38,47,8,11.8,8.4,16.2,77,14.4,9.9,19.8,77,325,77,
"Injury, unintentional",8,Near North Side,68,21,14,17.2,13.4,21.8,70,16.6,12.8,21,76,417,75,
"Injury, unintentional",9,Edison Park,15,70,3,26.8,15,44.2,43,24.6,13.3,39.3,55,684,52,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
"Injury, unintentional",10,Norwood Park,54,30,11,29.1,21.9,38,33,25.8,18.8,33.8,52,770,46,
"Injury, unintentional",11,Jefferson Park,41,44,8,32.1,23,43.5,29,28.8,20.6,38.4,37,810,44,
"Injury, unintentional",12,Forest Glen,23,58,5,24.9,15.8,37.4,50,22.3,13.7,33,60,452,73,
"Injury, unintentional",13,North Park,18,64,4,19.9,11.8,31.5,62,18.1,10.6,27.5,72,599,58,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
"Injury, unintentional",14,Albany Park,46,38,9,17.4,12.7,23.2,69,19.6,14.1,26,67,566,62,
"Injury, unintentional",15,Portage Park,91,9,18,28.3,22.8,34.7,39,27.4,22.1,33.4,42,923,32,
"Injury, unintentional",17,Dunning,71,19,14,33.8,26.4,42.6,23,31.8,24.7,39.7,32,1003,23,
"Injury, unintentional",18,Montclaire,19,62,4,28.6,17.2,44.7,36,28.2,16.9,42.4,40,983,26,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
"Injury, unintentional",19,Belmont Cragin,92,8,18,23.4,18.9,28.7,54,26.5,21.2,32.5,47,749,48,
"Injury, unintentional",20,Hermosa,30,53,6,23.6,15.9,33.7,53,24.6,16.1,34.8,55,935,31,
"Injury, unintentional",21,Avondale,52,32,10,26,19.4,34.1,46,27.1,19.9,35.4,43,1020,22,
"Injury, unintentional",22,Logan Square,83,10,17,22.2,17.7,27.5,57,26.5,20.5,33.2,47,729,49,
"Injury, unintentional",23,Humboldt park,134,2,27,46,38.2,53.8,7,54.4,45,64.7,6,1560,6,
"Injury, unintentional",24,West Town,93,7,19,22.3,18,27.3,56,27.8,22,34.2,41,617,56,
"Injury, unintentional",25,Austin,222,1,44,43.4,37.7,49.1,8,46.4,40.4,52.8,9,1502,7,
"Injury, unintentional",26,West Garfield Park,67,23,13,70.5,54.6,89.5,1,77.5,59.8,97.5,1,2459,1,
"Injury, unintentional",27,East Garfield Park,49,35,10,47.5,35.1,62.8,6,50.4,37.1,65.6,7,1698,4,
"Injury, unintentional",28,Near West Side,72,17,14,27.1,21.2,34.1,40,31.8,24.4,40.3,32,863,34,
"Injury, unintentional",29,North Lawndale,76,13,15,41,32.3,51.3,11,46.9,36.9,58.2,8,1333,10,
"Injury, unintentional",30,South Lawndale,68,21,14,16.7,13,21.2,74,19.7,14.6,25.6,66,583,59,
"Injury, unintentional",31,Lower West Side,54,30,11,28.9,21.7,37.7,34,32.8,24.2,42.7,27,955,29,
"Injury, unintentional",32,Loop,23,58,5,17.2,10.9,25.8,70,19,11.6,28.2,69,518,67,
"Injury, unintentional",33,Near South Side,16,68,3,16.8,9.6,27.3,72,17,9.4,27,75,502,69,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
"Injury, unintentional",34,Armour Square,13,71,3,19.8,10.5,33.9,64,18.2,9.5,29.7,71,535,66,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
"Injury, unintentional",35,Douglas,34,48,7,34.2,23.7,47.8,22,35.8,24.5,49.3,22,881,33,
"Injury, unintentional",36,Oakland,8,75,2,26.9,11.6,53,42,32.1,13.6,58.4,30,663,54,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
"Injury, unintentional",37,Fuller Park,9,74,2,60.3,27.6,114.5,2,57.7,25.7,102.2,5,1376,9,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
"Injury, unintentional",38,Grand Boulevard,48,37,10,41.5,30.6,55,10,42.9,31.6,55.9,10,1235,13,
"Injury, unintentional",39,Kenwood,17,67,3,18.9,11,30.3,66,19.2,11,29.5,68,502,69,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
"Injury, unintentional",40,Washington Park,32,50,6,52.4,35.8,74,5,62.7,42.4,86.8,3,1604,5,
"Injury, unintentional",41,Hyde Park,20,60,4,15.1,9.2,23.3,76,17.4,10.4,26.2,74,359,76,
"Injury, unintentional",42,Woodlawn,44,41,9,36.1,26.2,48.5,18,40,29,52.8,15,980,27,
"Injury, unintentional",43,South Shore,113,3,23,41.9,34.2,49.6,9,41.9,34.5,50.1,12,1300,11,
"Injury, unintentional",44,Chatham,60,27,12,37.2,28.4,47.9,16,35.3,26.8,45.1,23,1095,18,
"Injury, unintentional",45,Avalon Park,18,64,4,34.7,20.6,54.8,19,36,20.9,55,21,1238,12,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
"Injury, unintentional",46,South Chicago,52,32,10,31.8,23.7,41.7,30,33.7,25,43.5,25,1115,16,
"Injury, unintentional",47,Burnside,5,77,1,33.4,10.8,77.9,26,37,11.9,76.1,17,784,45,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
"Injury, unintentional",48,Calumet Heights,27,55,5,37.9,25,55.1,15,36.7,23.7,52.6,20,1062,20,
"Injury, unintentional",49,Roseland,70,20,14,30.3,23.6,38.3,32,29.9,23.2,37.4,36,838,38,
"Injury, unintentional",50,Pullman,11,73,2,28.8,14.4,51.5,35,30.4,14.9,51.3,35,996,24,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
"Injury, unintentional",51,South Deering,20,60,4,25.8,15.8,39.8,47,26.7,16.2,39.8,45,761,47,
"Injury, unintentional",52,East Side,39,45,8,33.7,24,46.1,25,37,26.2,49.6,17,991,25,
"Injury, unintentional",53,West Pullman,63,25,13,40.6,31.2,51.9,12,41.2,31.5,52.1,13,1424,8,
"Injury, unintentional",54,Riverdale,6,76,1,16.8,6.2,36.6,72,20.7,7.2,41,63,577,61,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
"Injury, unintentional",55,Hegewisch,12,72,2,25.3,13.1,44.2,49,23.3,11.9,38.6,58,483,71,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
"Injury, unintentional",56,Garfield Ridge,60,27,12,34.5,26.3,44.4,21,32.1,24.3,40.8,30,848,37,
"Injury, unintentional",57,Archer Heights,26,57,5,39.3,25.7,57.6,13,42,27.2,59.9,11,1160,15,
"Injury, unintentional",58,Brighton Park,45,40,9,19.9,14.5,26.6,62,26.6,19,35.6,46,583,59,
"Injury, unintentional",59,McKinley Park,19,62,4,24.2,14.6,37.8,52,26,15.4,39.3,51,816,43,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
"Injury, unintentional",60,Bridgeport,46,38,9,28.5,20.9,38,37,28.6,20.8,37.5,39,852,36,
"Injury, unintentional",61,New City,75,14,15,32.7,25.7,41,27,40.2,31.1,50.5,14,1097,17,
"Injury, unintentional",62,West Elsdon,27,55,5,30.6,20.2,44.5,31,32.8,21.5,46.4,27,828,40,
"Injury, unintentional",63,Gage Park,49,35,10,24.7,18.3,32.7,51,30.6,21.9,40.7,34,856,35,
"Injury, unintentional",64,Clearing,31,52,6,27,18.3,38.3,41,26.3,17.9,36.4,49,835,39,
"Injury, unintentional",65,West Lawn,32,50,6,19.7,13.5,27.8,65,20.4,13.9,28.2,64,670,53,
"Injury, unintentional",66,Chicago Lawn,74,15,15,26.1,20.5,32.8,45,28.8,22.4,36,37,941,30,
"Injury, unintentional",67,West Englewood,101,4,20,53.9,43.4,64.4,4,60.5,49.1,73.1,4,1776,3,
"Injury, unintentional",68,Englewood,95,6,19,58.3,47.2,71.3,3,64.2,51.8,78,2,2006,2,
"Injury, unintentional",69,Greater Grand Crossing,55,29,11,32.5,24.5,42.3,28,32.3,24.2,41.5,29,964,28,
"Injury, unintentional",70,Ashburn,42,43,8,20.6,14.8,27.8,61,21.4,15.4,28.4,61,605,57,
"Injury, unintentional",71,Auburn Gresham,97,5,19,38.7,31.4,47.2,14,39.9,32.2,48.4,16,1174,14,
"Injury, unintentional",72,Beverly,18,64,4,17.6,10.4,27.8,67,18.4,10.8,28,70,625,55,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
"Injury, unintentional",73,Washington Heights,50,34,10,36.8,27.3,48.5,17,36.8,27.1,48,19,1077,19,
"Injury, unintentional",74,Mount Greenwood,33,49,7,34.7,23.9,48.7,19,34.3,23.5,47,24,828,40,
"Injury, unintentional",75,Morgan Park,39,45,8,33.8,24,46.2,23,32.9,23.2,44.2,26,1027,21,
"Injury, unintentional",76,O'Hare,16,68,3,25.4,14.5,41.2,48,24.8,14,38.6,54,552,64,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
"Injury, unintentional",77,Edgewater,62,26,12,21.5,16.5,27.6,59,20.2,15.4,25.6,65,560,63,
"Injury, unintentional",0,Chicago,3922,,784,28.7,27.8,29.6,,29.9,28.9,30.8,,881,,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",1,Rogers Park,39,27,8,13.8,9.8,18.9,54,21.3,15,28.7,41,74,53,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",2,West Ridge,76,5,15,21.1,16.6,26.4,35,21,16.5,26.1,44,87,48,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",3,Uptown,68,8,14,23.5,18.2,29.8,26,24.6,19.1,30.9,34,198,26,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",4,Lincoln Square,40,26,8,19.7,14.1,26.8,38,25.5,18.1,34.1,29,174,30,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",5,North Center,21,53,4,13.2,8.2,20.2,56,21.9,13.5,32.4,38,63,60,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",6,Lake View,37,29,7,7.8,5.5,10.8,75,11.2,7.8,15.1,71,43,68,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",7,Lincoln Park,39,27,8,12.2,8.7,16.7,61,21,14.8,28.2,44,19,76,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",8,Near North Side,35,32,7,8.9,6.2,12.4,71,8.9,6.2,12.1,75,44,67,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",9,Edison Park,10,70,2,17.9,8.6,32.9,43,11.1,5.3,19,73,20,75,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",10,Norwood Park,70,7,14,37.7,29.4,47.6,11,19.6,15,24.7,50,126,41,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",11,Jefferson Park,23,49,5,18,11.4,27,42,13.7,8.6,19.8,69,39,70,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",12,Forest Glen,21,53,4,22.8,14.1,34.9,29,15.7,9.7,23.2,59,80,50,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",13,North Park,12,66,2,13.3,6.9,23.2,55,8.7,4.5,14.3,76,19,76,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",14,Albany Park,27,40,5,10.2,6.7,14.8,68,15.5,10.1,22,61,73,55,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",15,Portage Park,45,18,9,14,10.2,18.7,53,14.4,10.5,18.9,65,65,59,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",16,Irving Park,33,36,7,12.1,8.3,17,62,16.1,11,22.1,57,126,41,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",17,Dunning,41,23,8,19.5,14,26.5,39,14.9,10.6,19.8,63,85,49,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",18,Montclaire,22,51,4,33.2,20.8,50.3,19,28.4,17.6,41.8,25,129,40,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",19,Belmont Cragin,44,20,9,11.2,8.1,15,65,17.8,12.9,23.6,54,67,57,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",49,Roseland,84,3,17,36.3,29,44.9,15,31.3,24.9,38.5,17,357,4,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",20,Hermosa,10,70,2,7.9,3.8,14.5,74,15.8,7.3,27.5,58,56,64,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",21,Avondale,26,41,5,13,8.5,19,57,20.9,13.4,30.1,47,135,39,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",22,Logan Square,34,34,7,9.1,6.3,12.7,70,18.8,12.9,25.8,51,66,58,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",23,Humboldt park,63,11,13,21.6,16.6,27.6,32,40.5,30.5,52,6,188,27,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",24,West Town,54,13,11,13,9.8,17,57,23.4,17.5,30.2,36,101,44,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",25,Austin,120,1,24,23.5,19.3,27.7,26,28.9,23.8,34.6,24,220,19,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",26,West Garfield Park,25,46,5,26.3,17,38.8,24,32.9,21.1,47.2,12,257,15,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",27,East Garfield Park,28,39,6,27.1,18,39.2,23,34.1,22.5,48,11,257,15,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",28,Near West Side,26,41,5,9.8,6.4,14.4,69,17.9,11.6,25.5,53,92,47,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",29,North Lawndale,35,32,7,18.9,13.2,26.3,41,25.3,17.6,34.4,31,169,31,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",30,South Lawndale,36,31,7,8.8,6.2,12.2,72,21,14.4,29,44,80,50,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",31,Lower West Side,14,63,3,7.5,4.1,12.6,76,14.3,7.7,22.8,66,49,66,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",32,Loop,6,74,1,4.5,1.7,9.8,77,6.6,2.3,13.2,77,37,72,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",33,Near South Side,16,59,3,16.8,9.6,27.3,45,21.1,11.9,32.9,43,159,33,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",34,Armour Square,24,48,5,36.6,23.5,54.5,14,25.5,16.3,36.6,29,98,46,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",35,Douglas,47,17,9,47.3,34.8,62.9,3,39.7,29,52,7,300,8,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",36,Oakland,5,77,1,16.8,5.5,39.2,45,20.8,6.6,43,48,146,36,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",37,Fuller Park,6,74,1,40.2,14.8,87.5,9,30,10.9,58.5,22,259,14,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",38,Grand Boulevard,26,41,5,22.5,14.7,33,30,21.3,13.9,30.3,41,188,27,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",39,Kenwood,19,56,4,21.2,12.8,33.1,34,18,10.8,26.9,52,73,55,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",40,Washington Park,13,64,3,21.3,11.3,36.4,33,30.3,15.9,49.4,19,269,11,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",41,Hyde Park,16,59,3,12.1,6.9,19.6,62,11.2,6.4,17.3,71,29,74,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",42,Woodlawn,43,21,9,35.2,25.5,47.4,17,39.6,28.6,52.4,8,201,25,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",43,South Shore,86,2,17,31.9,25.5,39.4,20,31.2,24.9,38.2,18,263,13,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",44,Chatham,66,10,13,40.9,31.6,52,8,30.1,23.2,37.9,21,239,17,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",45,Avalon Park,23,49,5,44.3,28.1,66.5,6,32,20.1,46.6,15,468,1,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",46,South Chicago,60,12,12,36.7,28,47.2,13,38.5,29.3,48.9,9,375,3,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",47,Burnside,8,72,2,53.5,23.1,105.4,1,45.7,19.4,83,2,385,2,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",48,Calumet Heights,32,37,6,44.9,30.7,63.4,4,30.2,20.4,41.9,20,208,21,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",50,Pullman,15,61,3,39.2,21.9,64.7,10,41.9,23,66.4,5,336,5,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",51,South Deering,37,29,7,47.8,33.7,65.9,2,46.2,32.4,62.4,1,286,9,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",52,East Side,26,41,5,22.4,14.6,32.8,31,25.2,16.5,35.8,33,106,43,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",53,West Pullman,53,15,11,34.1,25.5,44.6,18,42.7,31.4,55.7,4,336,5,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",54,Riverdale,6,74,1,16.8,6.2,36.6,45,32.9,11.8,64.6,12,141,38,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",55,Hegewisch,12,66,2,25.3,13.1,44.2,25,20.7,10.6,34.1,49,208,21,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",56,Garfield Ridge,34,34,7,19.5,13.5,27.2,39,14.6,10.1,20,64,142,37,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",57,Archer Heights,7,73,1,10.6,4.3,21.8,67,12.1,4.8,22.5,70,59,62,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",58,Brighton Park,20,55,4,8.8,5.4,13.6,72,17.1,10.4,25.5,56,41,69,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",59,McKinley Park,12,66,2,15.3,7.9,26.7,51,23,11.8,37.8,37,61,61,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",60,Bridgeport,19,56,4,11.8,7.1,18.4,64,13.8,8.3,20.8,68,57,63,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",61,New City,41,23,8,17.9,12.8,24.3,43,32.9,23.2,44.2,12,180,29,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",62,West Elsdon,11,69,2,12.4,6.2,22.2,60,15,7.4,25.2,62,37,72,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",63,Gage Park,25,46,5,12.6,8.2,18.6,59,26.2,16.7,37.8,28,101,44,
"Kidney disease (nephritis, nephrotic syndrome and nephrosis)",64,Clearing,19,56,4,16.5,9.9,25.8,48,15.7,9.4,23.5,59,74,53,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
