fund_type,fund_code,department_code,organization_code,division_code,section_code,subsection_code,schedule,title_code,title_description,fund_name,department,department_name,division_name,section_name,budgeted_unit,total_budgeted_units,position_control,budgeted_pay_rate,total_budgeted_amount,subsection_name
Local,740,3,1005,2005,3710,0,1,9613,Chief Administrative Officer,O'HARE REVENUE FUND,IG,INSPECTOR GENERAL,Office of Inspector General,Operations,Annual,1,1,107964,107964,
Local,740,3,1005,2005,3720,0,1,15,Schedule Salary Adjustments,O'HARE REVENUE FUND,IG,INSPECTOR GENERAL,Office of Inspector General,Investigations,Annual,0,0,10957,10957,
Local,740,3,1005,2005,3720,0,BX,323,Administrative Assistant III - Excluded,O'HARE REVENUE FUND,IG,INSPECTOR GENERAL,Office of Inspector General,Investigations,Annual,1,1,52536,52536,
Local,740,3,1005,2005,3720,0,BX,1254,Investigator Specialist,O'HARE REVENUE FUND,IG,INSPECTOR GENERAL,Office of Inspector General,Investigations,Annual,3,1,57084,171252,
Local,740,3,1005,2005,3720,0,BX,1254,Investigator Specialist,O'HARE REVENUE FUND,IG,INSPECTOR GENERAL,Office of Inspector General,Investigations,Annual,1,1,59796,59796,
Local,740,3,1005,2005,3720,0,BX,1254,Investigator Specialist,O'HARE REVENUE FUND,IG,INSPECTOR GENERAL,Office of Inspector General,Investigations,Annual,1,1,62640,62640,
Local,740,3,1005,2005,3720,0,BX,1254,Investigator Specialist,O'HARE REVENUE FUND,IG,INSPECTOR GENERAL,Office of Inspector General,Investigations,Annual,2,1,63516,127032,
Local,740,3,1005,2005,3720,0,BX,1256,Supervising Investigator,O'HARE REVENUE FUND,IG,INSPECTOR GENERAL,Office of Inspector General,Investigations,Annual,1,1,69684,69684,
Local,740,3,1005,2005,3720,0,BX,1256,Supervising Investigator,O'HARE REVENUE FUND,IG,INSPECTOR GENERAL,Office of Inspector General,Investigations,Annual,1,1,73752,73752,
Local,740,3,1005,2005,3720,0,3,1260,Chief Investigator - IGO,O'HARE REVENUE FUND,IG,INSPECTOR GENERAL,Office of Inspector General,Investigations,Annual,1,1,105828,105828,
Local,740,3,1005,2005,3720,0,3,1261,Assistant Chief Investigator - IGO,O'HARE REVENUE FUND,IG,INSPECTOR GENERAL,Office of Inspector General,Investigations,Annual,1,1,76008,76008,
Local,740,3,1005,2005,3726,0,3,151,Auditor - IG,O'HARE REVENUE FUND,IG,INSPECTOR GENERAL,Office of Inspector General,Audit And Policy Review,Annual,2,1,66180,132360,
Local,740,3,1005,2005,3726,0,3,1278,Director of Program Policy and Review - IGO,O'HARE REVENUE FUND,IG,INSPECTOR GENERAL,Office of Inspector General,Audit And Policy Review,Annual,1,1,95016,95016,
Local,100,5,1005,2005,3005,0,BX,305,Assistant to the Director,CORPORATE FUND,OBM,OFFICE OF BUDGET & MANAGEMENT,Office of Budget and Management,Administration,Annual,1,1,84780,84780,
Local,100,5,1005,2005,3005,0,3,705,Director Public Affairs,CORPORATE FUND,OBM,OFFICE OF BUDGET & MANAGEMENT,Office of Budget and Management,Administration,Annual,1,1,96456,96456,
Local,100,5,1005,2005,3005,0,1,9868,First Deputy Budget Director,CORPORATE FUND,OBM,OFFICE OF BUDGET & MANAGEMENT,Office of Budget and Management,Administration,Annual,1,1,134820,134820,
Local,100,5,1005,2005,3005,0,1,9905,Budget Director,CORPORATE FUND,OBM,OFFICE OF BUDGET & MANAGEMENT,Office of Budget and Management,Administration,Annual,1,1,163656,163656,
Local,100,5,1005,2005,3011,4011,3,229,Chief Revenue Analyst,CORPORATE FUND,OBM,OFFICE OF BUDGET & MANAGEMENT,Office of Budget and Management,Budget Preparation and Execution,Annual,1,1,96768,96768,Revenue Analysis
Local,100,5,1005,2005,3011,4011,1,1120,Managing Deputy Budget Director,CORPORATE FUND,OBM,OFFICE OF BUDGET & MANAGEMENT,Office of Budget and Management,Budget Preparation and Execution,Annual,1,1,122964,122964,Revenue Analysis
Local,100,5,1005,2005,3011,4013,GY,1105,Senior Budget Analyst,CORPORATE FUND,OBM,OFFICE OF BUDGET & MANAGEMENT,Office of Budget and Management,Budget Preparation and Execution,Annual,2,1,80256,160512,Infrastructure/Enterprise Analysis
Local,100,5,1005,2005,3011,4013,1,9656,Deputy Budget Director,CORPORATE FUND,OBM,OFFICE OF BUDGET & MANAGEMENT,Office of Budget and Management,Budget Preparation and Execution,Annual,1,1,110880,110880,Infrastructure/Enterprise Analysis
Local,100,5,1005,2005,3011,4014,GY,1105,Senior Budget Analyst,CORPORATE FUND,OBM,OFFICE OF BUDGET & MANAGEMENT,Office of Budget and Management,Budget Preparation and Execution,Annual,1,1,80256,80256,Regulatory Analysis
Local,100,5,1005,2005,3011,4014,1,9656,Deputy Budget Director,CORPORATE FUND,OBM,OFFICE OF BUDGET & MANAGEMENT,Office of Budget and Management,Budget Preparation and Execution,Annual,1,1,110880,110880,Regulatory Analysis
Local,100,5,1005,2005,3011,4015,GY,1141,Principal Operations Analyst,CORPORATE FUND,OBM,OFFICE OF BUDGET & MANAGEMENT,Office of Budget and Management,Budget Preparation and Execution,Annual,1,1,87660,87660,Operational Analysis
Local,100,5,1005,2005,3011,4015,3,1183,Field Analyst,CORPORATE FUND,OBM,OFFICE OF BUDGET & MANAGEMENT,Office of Budget and Management,Budget Preparation and Execution,Annual,1,1,92064,92064,Operational Analysis
Local,100,5,1005,2005,3016,4017,3,1124,Assistant Budget Director,CORPORATE FUND,OBM,OFFICE OF BUDGET & MANAGEMENT,Office of Budget and Management,Management Initiatives,Annual,1,1,97728,97728,Risk Assessment
Local,100,5,1005,2005,3016,4018,BX,126,Financial Officer,CORPORATE FUND,OBM,OFFICE OF BUDGET & MANAGEMENT,Office of Budget and Management,Management Initiatives,Annual,0,0,63516,0,Performance Monitoring
Local,100,5,1005,2005,3016,4018,BX,308,Staff Assistant,CORPORATE FUND,OBM,OFFICE OF BUDGET & MANAGEMENT,Office of Budget and Management,Management Initiatives,Annual,1,1,63276,63276,Performance Monitoring
Local,100,5,1005,2005,3016,4019,BX,309,Coordinator of Special Projects,CORPORATE FUND,OBM,OFFICE OF BUDGET & MANAGEMENT,Office of Budget and Management,Management Initiatives,Annual,1,1,97416,97416,Internal Office Management
Local,100,5,1005,2005,3020,0,BX,1301,Administrative Services Officer I,CORPORATE FUND,OBM,OFFICE OF BUDGET & MANAGEMENT,Office of Budget and Management,Compensation Appropriation Control,Annual,1,1,67224,67224,
Local,100,5,1005,2005,3020,0,3,1323,Manager of Compensation Control,CORPORATE FUND,OBM,OFFICE OF BUDGET & MANAGEMENT,Office of Budget and Management,Compensation Appropriation Control,Annual,1,1,122856,122856,
Local,100,5,1005,2005,3021,0,3,601,Director of Information Systems,CORPORATE FUND,OBM,OFFICE OF BUDGET & MANAGEMENT,Office of Budget and Management,Technical Development,Annual,1,1,109032,109032,
Local,100,5,1005,2005,3021,0,3,603,Assistant Director of Information Systems,CORPORATE FUND,OBM,OFFICE OF BUDGET & MANAGEMENT,Office of Budget and Management,Technical Development,Annual,1,1,101700,101700,
Local,100,5,1005,2005,3030,0,1,9627,Executive Director,CORPORATE FUND,OBM,OFFICE OF BUDGET & MANAGEMENT,Office of Budget and Management,Chicago Tax Assistance Center,Annual,1,1,100692,100692,
Local,100,5,1005,2005,3035,0,BX,6340,Clerk II - TRTW,CORPORATE FUND,OBM,OFFICE OF BUDGET & MANAGEMENT,Office of Budget and Management,Return to Work,Annual,0,0,25932,0,
Local,100,5,1005,2005,3035,0,BX,6341,Clerk III - TRTW,CORPORATE FUND,OBM,OFFICE OF BUDGET & MANAGEMENT,Office of Budget and Management,Return to Work,Annual,0,0,28452,0,
Local,100,5,1005,2005,3035,0,BX,6342,Data Entry Operator - TRTW,CORPORATE FUND,OBM,OFFICE OF BUDGET & MANAGEMENT,Office of Budget and Management,Return to Work,Annual,0,0,28452,0,
Local,100,5,1005,2005,3035,0,BX,6343,Unit Assistant - TRTW,CORPORATE FUND,OBM,OFFICE OF BUDGET & MANAGEMENT,Office of Budget and Management,Return to Work,Annual,0,0,28452,0,
Local,100,5,1005,2005,3035,0,2,6344,Watchman - TRTW,CORPORATE FUND,OBM,OFFICE OF BUDGET & MANAGEMENT,Office of Budget and Management,Return to Work,Hourly,0,0,19,0,
Local,200,5,1005,2005,3011,4213,1,9656,Deputy Budget Director,WATER FUND,OBM,OFFICE OF BUDGET & MANAGEMENT,Office of Budget and Management,Budget Preparation and Execution,Annual,1,1,110880,110880,Infrastructure/Enterprise Analysis
Local,,5,1005,2005,3040,0,3,306,Assistant Director,TIF ADMINISTRATION,OBM,OFFICE OF BUDGET & MANAGEMENT,Office of Budget and Management,TIF Administration,Annual,1,1,87552,87552,
Local,,5,1005,2005,3040,0,3,1439,Financial Planning Analyst,TIF ADMINISTRATION,OBM,OFFICE OF BUDGET & MANAGEMENT,Office of Budget and Management,TIF Administration,Annual,1,1,77748,77748,
Local,100,6,1005,2005,3105,4105,1,15,Schedule Salary Adjustments,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Citywide IT Administration,Annual,0,0,438,438,Office of the CIO
Local,100,6,1005,2005,3105,4105,BX,320,Assistant to the Commissioner,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Citywide IT Administration,Annual,1,1,77280,77280,Office of the CIO
Local,100,6,1005,2005,3105,4105,BX,323,Administrative Assistant III - Excluded,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Citywide IT Administration,Annual,1,1,63276,63276,Office of the CIO
Local,100,6,1005,2005,3105,4105,1,9775,First Deputy Chief Information Officer,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Citywide IT Administration,Annual,1,1,128304,128304,Office of the CIO
Local,100,6,1005,2005,3105,4105,1,9776,Managing Deputy Chief Information Officer,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Citywide IT Administration,Annual,1,1,122232,122232,Office of the CIO
Local,100,6,1005,2005,3105,4105,1,9777,Deputy Chief Information Officer,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Citywide IT Administration,Annual,1,1,123624,123624,Office of the CIO
Local,100,6,1005,2005,3105,4105,1,9906,Chief Information Officer,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Citywide IT Administration,Annual,1,1,141840,141840,Office of the CIO
Local,100,6,1005,2005,3105,4106,3,311,Projects Administrator,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Citywide IT Administration,Annual,1,1,89844,89844,Community Broadband and Digital Inclusion
Local,100,6,1005,2005,3105,4107,3,629,Principal Programmer/Analyst,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Citywide IT Administration,Annual,1,1,102024,102024,Business Development Management
Local,100,6,1005,2005,3105,4107,1,9777,Deputy Chief Information Officer,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Citywide IT Administration,Annual,1,1,109860,109860,Business Development Management
Local,100,6,1005,2005,3105,4107,1,9777,Deputy Chief Information Officer,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Citywide IT Administration,Annual,1,1,116868,116868,Business Development Management
Local,100,6,1005,2005,3105,4108,3,310,Project Manager,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Citywide IT Administration,Annual,1,1,76116,76116,Project Management Office
Local,100,6,1005,2005,3105,4108,3,310,Project Manager,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Citywide IT Administration,Annual,3,1,93504,280512,Project Management Office
Local,100,6,1005,2005,3105,4108,1,9777,Deputy Chief Information Officer,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Citywide IT Administration,Annual,1,1,110856,110856,Project Management Office
Local,100,6,1005,2005,3105,4110,G,102,Accountant II,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Citywide IT Administration,Annual,1,1,73932,73932,Finance and Administration
Local,100,6,1005,2005,3105,4110,3,118,Director of Finance,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Citywide IT Administration,Annual,1,1,90252,90252,Finance and Administration
Local,100,6,1005,2005,3105,4110,BX,134,Financial Analyst,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Citywide IT Administration,Annual,1,1,80916,80916,Finance and Administration
Local,100,6,1005,2005,3105,4110,BX,308,Staff Assistant,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Citywide IT Administration,Annual,1,1,54492,54492,Finance and Administration
Local,100,6,1005,2005,3105,4110,BX,345,Contracts Coordinator,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Citywide IT Administration,Annual,1,1,88812,88812,Finance and Administration
Local,100,6,1005,2005,3105,4110,BX,1304,Supervisor of Personnel Services,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Citywide IT Administration,Annual,1,1,77280,77280,Finance and Administration
Local,100,6,1005,2005,3110,4111,1,9778,Assistant Chief Information Officer,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Enterprise Architect Management,Annual,1,1,105828,105828,Green IT Architecture
Local,100,6,1005,2005,3110,4116,3,310,Project Manager,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Enterprise Architect Management,Annual,1,1,102708,102708,Server and Storage Architecture
Local,100,6,1005,2005,3110,4119,3,310,Project Manager,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Enterprise Architect Management,Annual,1,1,99336,99336,Network Architecture
Local,100,6,1005,2005,3115,4130,3,311,Projects Administrator,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Citywide Financial Systems,Annual,1,1,104352,104352,Financial Systems
Local,100,6,1005,2005,3115,4130,3,625,Chief Programmer/Analyst,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Citywide Financial Systems,Annual,1,1,110352,110352,Financial Systems
Local,100,6,1005,2005,3115,4130,1,9777,Deputy Chief Information Officer,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Citywide Financial Systems,Annual,1,1,111216,111216,Financial Systems
Local,100,6,1005,2005,3115,4130,1,9778,Assistant Chief Information Officer,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Citywide Financial Systems,Annual,1,1,91632,91632,Financial Systems
Local,100,6,1005,2005,3115,4140,3,629,Principal Programmer/Analyst,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Citywide Financial Systems,Annual,1,1,83100,83100,HR\Payroll Systems
Local,100,6,1005,2005,3115,4140,1,9778,Assistant Chief Information Officer,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Citywide Financial Systems,Annual,1,1,88476,88476,HR\Payroll Systems
Local,100,6,1005,2005,3120,4145,3,310,Project Manager,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Citywide Regulatory Systems,Annual,1,1,76980,76980,Inspections and Permits
Local,100,6,1005,2005,3120,4145,3,310,Project Manager,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Citywide Regulatory Systems,Annual,1,1,91200,91200,Inspections and Permits
Local,100,6,1005,2005,3120,4145,3,601,Director of Information Systems,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Citywide Regulatory Systems,Annual,1,1,79464,79464,Inspections and Permits
Local,100,6,1005,2005,3120,4145,1,9777,Deputy Chief Information Officer,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Citywide Regulatory Systems,Annual,1,1,118080,118080,Inspections and Permits
Local,100,6,1005,2005,3120,4145,1,9778,Assistant Chief Information Officer,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Citywide Regulatory Systems,Annual,1,1,92040,92040,Inspections and Permits
Local,100,6,1005,2005,3120,4147,3,601,Director of Information Systems,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Citywide Regulatory Systems,Annual,1,1,102708,102708,"Business Licenses, Taxes and Investigations"
Local,100,6,1005,2005,3120,4147,BX,1912,Project Coordinator,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Citywide Regulatory Systems,Annual,1,1,70380,70380,"Business Licenses, Taxes and Investigations"
Local,300,25,1005,2005,3025,0,B,236,Payment Reconciler,VEHICLE FUND,CITY CLERK,CITY CLERK,City Clerk,Issuance of Vehicle Licenses,Annual,1,1,46428,46428,
Local,100,6,1005,2005,3125,4149,1,15,Schedule Salary Adjustments,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Citywide Services Systems,Annual,0,0,972,972,Customer Relationship Management System
Local,100,6,1005,2005,3125,4149,3,311,Projects Administrator,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Citywide Services Systems,Annual,1,1,70116,70116,Customer Relationship Management System
Local,100,6,1005,2005,3125,4149,3,629,Principal Programmer/Analyst,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Citywide Services Systems,Annual,1,1,102024,102024,Customer Relationship Management System
Local,100,6,1005,2005,3125,4149,B,690,Help Desk Technician,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Citywide Services Systems,Annual,1,1,55872,55872,Customer Relationship Management System
Local,100,6,1005,2005,3125,4149,1,9777,Deputy Chief Information Officer,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Citywide Services Systems,Annual,1,1,118080,118080,Customer Relationship Management System
Local,100,6,1005,2005,3127,4129,3,601,Director of Information Systems,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Health Information Technology,Annual,1,1,113208,113208,Health Enterprise Systems
Local,100,6,1005,2005,3127,4129,3,625,Chief Programmer/Analyst,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Health Information Technology,Annual,1,1,110352,110352,Health Enterprise Systems
Local,100,6,1005,2005,3127,4129,BX,634,Data Services Administrator,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Health Information Technology,Annual,1,1,80916,80916,Health Enterprise Systems
Local,100,6,1005,2005,3127,4129,3,659,Principal Data Base Analyst,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Health Information Technology,Annual,1,1,99108,99108,Health Enterprise Systems
Local,100,6,1005,2005,3127,4131,3,601,Director of Information Systems,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Health Information Technology,Annual,1,1,93912,93912,Health Technical Operations
Local,100,6,1005,2005,3136,4167,1,15,Schedule Salary Adjustments,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Software Development,Annual,0,0,3393,3393,Application Development
Local,100,6,1005,2005,3136,4167,3,625,Chief Programmer/Analyst,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Software Development,Annual,1,1,104772,104772,Application Development
Local,100,6,1005,2005,3136,4167,3,629,Principal Programmer/Analyst,CORPORATE FUND,DOIT,DEPARTMENT OF INNOVATION & TECHNOLOGY,Department of Innovation and Technology,Software Development,Annual,1,1,79464,79464,Application Development
